"Sexo","Ingresos","Gastos","Balance","TieneDeuda","EdadPrestamo","MontoPrestado","Cuotas","DarPrestamo","Prediccion_Lasso","Prediccion_Ridge"
"F",1806,741,1065,0,48,686,4,"1",0.999430268629375,0.918200326624134
"F",2374,1093,1281,0,61,807,4,"1",0.999430268629375,0.923501559871516
"F",2886,1126,1760,0,53,1183,4,"1",0.999430268629375,0.927330243265576
"F",2438,1171,1267,1,46,780,4,"0",0.000784616696588918,0.142859300062973
"F",2740,1179,1561,0,44,1096,4,"1",0.999430268629375,0.926194372036508
"F",2922,1461,1461,0,40,993,4,"1",0.999430268629375,0.927359530698748
"F",2695,1132,1563,0,40,997,4,"1",0.999430268629375,0.924947607384435
"F",2459,960,1499,1,41,984,4,"0",0.000784616696588918,0.142940185103782
"F",2708,1057,1651,0,66,948,4,"1",0.999430268629375,0.925492596172872
"F",2201,991,1210,0,25,836,4,"1",0.999430268629375,0.920804837680252
"F",2720,1197,1523,0,29,1006,4,"1",0.999430268629375,0.9249089564469
"F",1778,729,1049,0,45,693,4,"1",0.999430268629375,0.917934592103854
"M",2775,1388,1387,0,72,833,4,"1",0.999430268629375,0.928484562441978
"F",2262,1041,1221,0,34,701,4,"1",0.999430268629375,0.920773851951071
"F",2394,1150,1244,1,27,862,4,"0",0.000784616696588918,0.141797453930595
"F",2174,957,1217,0,21,826,4,"1",0.999430268629375,0.920249287068879
"M",1969,965,1004,0,46,807,4,"1",0.999430268629375,0.922404400997211
"M",2810,1237,1573,1,22,1124,4,"0",0.000784616696588918,0.15038694136473
"F",1918,902,1016,0,54,748,4,"1",0.999430268629375,0.920259088433534
"F",2944,1414,1530,1,50,942,4,"0",0.000784616696588918,0.150270644092919
"F",2912,1369,1543,0,34,1107,4,"1",0.999430268629375,0.927310832739249
"F",2667,1201,1466,0,50,800,4,"1",0.999430268629375,0.924386791870544
"F",2409,1157,1252,0,43,964,4,"1",0.999430268629375,0.924163844123156
"F",2157,1101,1056,0,55,712,4,"1",0.999430268629375,0.921932972635658
"F",1616,744,872,0,68,485,4,"1",0.999430268629375,0.91717591724045
"F",1909,860,1049,0,27,687,4,"1",0.999430268629375,0.918146415585513
"M",1726,708,1018,0,48,656,4,"1",0.999430268629375,0.919194289958831
"F",2378,1213,1165,0,60,856,4,"1",0.999430268629375,0.924469644283267
"F",2749,1238,1511,0,30,880,4,"1",0.999430268629375,0.924409602238211
"M",1808,742,1066,0,37,669,4,"1",0.999430268629375,0.919178225743209
"F",2363,1158,1205,0,37,874,4,"1",0.999430268629375,0.923116874332899
"F",2626,1077,1549,0,75,1050,4,"1",0.999430268629375,0.926477219840571
"F",1954,782,1172,0,30,586,4,"1",0.999430268629375,0.917233401676772
"M",2703,1352,1351,0,52,1000,4,"1",0.999430268629375,0.928255677684518
"M",2455,1007,1448,0,55,982,4,"1",0.999430268629375,0.925718369461428
"M",1557,670,887,0,36,623,4,"1",0.999430268629375,0.917566468508265
"F",2768,1108,1660,0,36,1107,4,"1",0.999430268629375,0.925581656832776
"F",2195,1054,1141,0,63,702,4,"1",0.999430268629375,0.92210981564979
"F",1523,686,837,0,47,503,8,"1",0.999430268629375,0.900457561742276
"F",2388,1051,1337,1,51,764,8,"0",0.000784616696588918,0.121067391767085
"F",2947,1297,1650,1,40,1120,4,"0",0.000784616696588918,0.150440638039286
"F",2956,1331,1625,0,36,1005,8,"1",0.999430268629375,0.913365605623808
"F",1623,763,860,0,57,649,4,"1",0.999430268629375,0.917948507021829
"F",1570,707,863,0,42,518,4,"1",0.999430268629375,0.915665966895845
"F",1820,783,1037,0,33,637,8,"1",0.999430268629375,0.902554337574207
"M",2851,1198,1653,0,30,1055,8,"1",0.999430268629375,0.913995646010143
"F",1725,863,862,1,25,569,8,"0",0.000784616696588918,0.112804206961159
"F",2292,1009,1283,1,66,688,4,"0",0.000784616696588918,0.141140091162253
"M",2189,1051,1138,0,29,810,8,"1",0.999430268629375,0.90880653861761
"F",2631,1079,1552,1,56,921,4,"0",0.000784616696588918,0.145525953377293
"F",1921,865,1056,0,21,596,8,"1",0.999430268629375,0.90241424515895
"F",1573,645,928,1,52,566,4,"0",0.000784616696588918,0.131617702264053
"M",2009,804,1205,1,45,824,8,"0",0.000784616696588918,0.119834844941518
"F",2596,1195,1401,1,24,1012,8,"0",0.000784616696588918,0.123830003921471
"F",2585,1267,1318,0,22,905,8,"1",0.999430268629375,0.910126838540532
"M",2542,1017,1525,1,27,890,8,"0",0.000784616696588918,0.123395436128537
"F",2500,1050,1450,0,50,925,4,"1",0.999430268629375,0.923911596150606
"F",1553,699,854,1,55,575,4,"0",0.000784616696588918,0.132351197393404
"F",2185,1027,1158,1,34,765,4,"0",0.000784616696588918,0.138997149615615
"F",2194,966,1228,1,66,658,4,"0",0.000784616696588918,0.139874192238254
"F",1720,740,980,0,28,636,8,"1",0.999430268629375,0.901564622666102
"F",1761,740,1021,1,24,687,8,"0",0.000784616696588918,0.11306753993203
"M",2435,1169,1266,1,21,828,8,"0",0.000784616696588918,0.123102717274957
"F",2205,1037,1168,1,43,882,8,"0",0.000784616696588918,0.120765436927621
"F",1541,756,785,1,26,586,8,"0",0.000784616696588918,0.111421707245219
"F",1553,653,900,1,23,637,8,"0",0.000784616696588918,0.110952350736457
"M",2042,1001,1041,0,27,735,4,"1",0.999430268629375,0.921373197760019
"F",2914,1254,1660,1,59,1078,4,"0",0.000784616696588918,0.150990009630839
"F",1813,726,1087,0,59,544,4,"1",0.999430268629375,0.91766155865264
"M",2746,1346,1400,1,69,1016,4,"0",0.000784616696588918,0.154003635268614
"M",2020,849,1171,0,62,626,4,"1",0.999430268629375,0.921422206533423
"M",1645,642,1003,0,35,625,4,"1",0.999430268629375,0.917641760169829
"F",1934,774,1160,1,46,716,4,"0",0.000784616696588918,0.1357847833232
"M",1580,759,821,0,25,632,4,"1",0.999430268629375,0.917661822146373
"F",2152,1012,1140,1,26,710,4,"0",0.000784616696588918,0.137386121897458
"F",2160,972,1188,1,65,778,4,"0",0.000784616696588918,0.141093133891494
"F",2049,1005,1044,0,45,697,4,"1",0.999430268629375,0.920438325025798
"M",1859,800,1059,1,24,558,4,"0",0.000784616696588918,0.134658878731971
"M",2725,1145,1580,1,32,954,4,"0",0.000784616696588918,0.147776905018886
"F",1803,866,937,1,62,541,4,"0",0.000784616696588918,0.135286680385935
"F",1816,927,889,1,38,672,4,"0",0.000784616696588918,0.135465731081806
"F",2756,1186,1570,0,29,1130,4,"1",0.999430268629375,0.92579235981946
"M",1953,938,1015,0,25,781,4,"1",0.999430268629375,0.920963891590953
"M",2935,1292,1643,1,40,939,4,"0",0.000784616696588918,0.150902917184767
"F",1833,917,916,1,36,660,4,"0",0.000784616696588918,0.135156832251764
"F",1974,869,1105,1,34,691,4,"0",0.000784616696588918,0.1356007011086
"F",1695,797,898,1,72,644,4,"0",0.000784616696588918,0.136108528211222
"F",2748,1374,1374,1,27,934,4,"0",0.000784616696588918,0.146703586808364
"F",2367,971,1396,1,41,757,4,"0",0.000784616696588918,0.139876137866335
"F",2134,1046,1088,0,37,768,4,"1",0.999430268629375,0.921038888115644
"F",1870,786,1084,1,43,767,4,"0",0.000784616696588918,0.135920752691327
"F",1930,753,1177,0,54,656,4,"1",0.999430268629375,0.918755760040057
"M",1517,607,910,0,26,516,4,"1",0.999430268629375,0.915724436848621
"F",2631,1053,1578,0,34,973,4,"1",0.999430268629375,0.923865648188482
"F",1674,804,870,0,33,586,4,"1",0.999430268629375,0.916624815669417
"F",2789,1256,1533,0,31,1032,4,"1",0.999430268629375,0.925705484550152
"F",2999,1200,1799,0,55,1110,4,"1",0.999430268629375,0.927658270134744
"F",1620,778,842,1,61,664,8,"0",0.000784616696588918,0.11514223675896
"F",2609,1070,1539,1,36,913,8,"0",0.000784616696588918,0.12267241931281
"F",1626,765,861,0,70,650,4,"1",0.999430268629375,0.918655115157349
"F",2397,1175,1222,1,56,863,4,"0",0.000784616696588918,0.144540590978335
"F",1514,667,847,0,45,454,8,"1",0.999430268629375,0.899731538101792
"F",2612,1098,1514,0,36,993,4,"1",0.999430268629375,0.924294532349242
"M",2354,966,1388,1,36,871,8,"0",0.000784616696588918,0.122577522237874
"F",2346,915,1431,0,49,891,4,"1",0.999430268629375,0.922405988641053
"F",2955,1330,1625,0,47,1123,4,"1",0.999430268629375,0.927936938289683
"F",2035,835,1200,0,49,692,4,"1",0.999430268629375,0.919571701706607
"F",1786,893,893,1,41,661,8,"0",0.000784616696588918,0.115338815128996
"F",1797,845,952,1,54,701,4,"0",0.000784616696588918,0.136247405143532
"F",2484,1044,1440,1,40,944,8,"0",0.000784616696588918,0.12250873953365
"F",2664,1359,1305,1,39,1092,4,"0",0.000784616696588918,0.149107686835959
"F",2516,1108,1408,0,45,906,4,"1",0.999430268629375,0.923907185131592
"F",1864,802,1062,1,59,746,4,"0",0.000784616696588918,0.137108889070851
"F",2184,1071,1113,0,55,852,8,"1",0.999430268629375,0.908915878894632
"F",2637,1161,1476,1,28,844,8,"0",0.000784616696588918,0.12225102770577
"F",1892,814,1078,1,29,757,8,"0",0.000784616696588918,0.115264501808772
"F",2730,1229,1501,0,50,901,8,"1",0.999430268629375,0.911924460104665
"F",2493,1272,1221,0,63,848,4,"1",0.999430268629375,0.925222569610205
"F",2117,953,1164,1,54,699,4,"0",0.000784616696588918,0.138841940803438
"F",1833,752,1081,0,50,752,8,"1",0.999430268629375,0.904400185400124
"F",1804,794,1010,1,48,577,8,"0",0.000784616696588918,0.114277125648693
"F",2120,976,1144,0,51,678,4,"1",0.999430268629375,0.920658332380308
"F",2086,981,1105,1,35,793,8,"0",0.000784616696588918,0.118267678069541
"F",1689,693,996,0,26,524,8,"1",0.999430268629375,0.900010489139154
"F",2666,1333,1333,0,32,1013,8,"1",0.999430268629375,0.912245029802242
"F",2550,1020,1530,0,50,816,4,"1",0.999430268629375,0.923138950904081
"F",2127,873,1254,0,70,872,4,"1",0.999430268629375,0.922417599090334
"F",2285,1143,1142,0,67,731,4,"1",0.999430268629375,0.923284777137323
"F",1540,663,877,1,33,508,8,"0",0.000784616696588918,0.11041721751331
"F",2080,957,1123,0,33,624,4,"1",0.999430268629375,0.919111306126402
"F",2323,1046,1277,0,38,952,8,"1",0.999430268629375,0.909069850514786
"F",2624,1129,1495,1,28,997,8,"0",0.000784616696588918,0.123533223908036
"M",2270,977,1293,1,38,885,8,"0",0.000784616696588918,0.122586893838735
"F",2157,1079,1078,0,37,841,8,"1",0.999430268629375,0.90774238868845
"F",1844,775,1069,0,45,609,4,"1",0.999430268629375,0.91779945309438
"F",1683,792,891,1,29,539,8,"0",0.000784616696588918,0.112050023021386
"F",2573,1030,1543,0,41,1029,4,"1",0.999430268629375,0.924291997601062
"F",2224,1046,1178,1,46,667,4,"0",0.000784616696588918,0.139224355335398
"M",2905,1192,1713,1,78,930,4,"0",0.000784616696588918,0.153008187787429
"F",1524,778,746,1,61,518,4,"0",0.000784616696588918,0.132768266407222
"F",2184,1049,1135,0,39,677,4,"1",0.999430268629375,0.920661948959152
"F",2858,1287,1571,1,62,943,4,"0",0.000784616696588918,0.149600425318647
"F",2369,1114,1255,1,63,782,4,"0",0.000784616696588918,0.143421137170604
"F",2282,1005,1277,1,23,936,4,"0",0.000784616696588918,0.140372913117019
"F",2287,1007,1280,1,49,823,4,"0",0.000784616696588918,0.141265366181537
"F",1548,620,928,1,50,511,4,"0",0.000784616696588918,0.130500272155959
"F",1767,743,1024,1,41,618,4,"0",0.000784616696588918,0.133157156058385
"F",2296,988,1308,0,47,827,4,"1",0.999430268629375,0.922120605008568
"F",2686,1209,1477,0,26,994,4,"1",0.999430268629375,0.924648511790897
"F",2755,1213,1542,1,61,1074,4,"0",0.000784616696588918,0.14984463082302
"M",2609,1070,1539,1,84,835,4,"0",0.000784616696588918,0.149504107119895
"F",2618,1048,1570,1,64,1021,4,"0",0.000784616696588918,0.14706783509329
"F",1780,890,890,0,22,694,4,"1",0.999430268629375,0.917705168743027
"F",2020,1031,989,0,22,707,4,"1",0.999430268629375,0.919394441734051
"F",2931,1319,1612,0,53,1084,4,"1",0.999430268629375,0.927834335226983
"F",2815,1211,1604,1,53,985,4,"0",0.000784616696588918,0.148334924683846
"F",1812,870,942,1,23,689,4,"0",0.000784616696588918,0.133898478475197
"F",2592,1167,1425,0,27,1063,4,"1",0.999430268629375,0.924659249386868
"F",2678,1179,1499,1,62,1044,4,"0",0.000784616696588918,0.14880459439396
"F",2778,1195,1583,0,57,945,4,"1",0.999430268629375,0.925997452211045
"F",2652,1061,1591,0,19,1061,4,"1",0.999430268629375,0.923845342793855
"M",1796,773,1023,0,26,557,4,"1",0.999430268629375,0.917931816279869
"M",2121,849,1272,0,24,870,4,"1",0.999430268629375,0.92154828716273
"F",2541,1144,1397,1,36,940,4,"0",0.000784616696588918,0.14420207448862
"F",2415,942,1473,0,36,966,4,"1",0.999430268629375,0.922646182435632
"F",2829,1302,1527,0,50,962,4,"1",0.999430268629375,0.926505226344167
"F",2231,1004,1227,1,49,692,4,"0",0.000784616696588918,0.139404122431053
"F",2122,892,1230,1,56,806,4,"0",0.000784616696588918,0.139710167940365
"F",1609,660,949,1,52,499,4,"0",0.000784616696588918,0.131178107478013
"F",2576,1185,1391,1,53,927,4,"0",0.000784616696588918,0.146096766784949
"F",2775,1277,1498,0,46,999,4,"1",0.999430268629375,0.926272120132027
"M",2461,1059,1402,1,38,763,4,"0",0.000784616696588918,0.143731615114385
"F",2601,1119,1482,1,37,780,4,"0",0.000784616696588918,0.142431637120157
"F",2579,1058,1521,0,48,954,4,"1",0.999430268629375,0.924291611031265
"F",2510,979,1531,1,32,954,4,"0",0.000784616696588918,0.142263569794884
"F",2561,999,1562,1,36,973,4,"0",0.000784616696588918,0.143289022870214
"F",2719,1306,1413,0,78,843,4,"1",0.999430268629375,0.926742063568305
"F",1617,777,840,0,21,566,4,"1",0.999430268629375,0.915483278614402
"F",1524,762,762,1,60,549,4,"0",0.000784616696588918,0.132891747650068
"F",2323,1139,1184,0,33,813,4,"1",0.999430268629375,0.922264652345655
"M",2841,1307,1534,0,36,1023,4,"1",0.999430268629375,0.927814186777024
"F",2153,862,1291,0,24,754,4,"1",0.999430268629375,0.919261687810885
"F",1815,817,998,1,61,653,4,"0",0.000784616696588918,0.13609516558028
"F",2213,930,1283,1,41,775,8,"0",0.000784616696588918,0.118656769157227
"M",2041,837,1204,0,47,837,8,"1",0.999430268629375,0.908136703492685
"F",1687,760,927,0,42,692,4,"1",0.999430268629375,0.917665494811565
"F",2623,1286,1337,0,37,1075,8,"1",0.999430268629375,0.912565137739817
"F",1517,607,910,1,42,592,4,"0",0.000784616696588918,0.130503869543605
"F",1642,789,853,0,44,493,4,"1",0.999430268629375,0.916318593186431
"F",2221,1067,1154,0,44,844,8,"1",0.999430268629375,0.908319382990316
"M",2475,1213,1262,0,44,866,4,"1",0.999430268629375,0.925592410417812
"F",2630,1158,1472,0,56,1078,4,"1",0.999430268629375,0.926212847304161
"M",1594,782,812,1,31,526,8,"0",0.000784616696588918,0.113833838801838
"M",1711,805,906,1,46,616,4,"0",0.000784616696588918,0.136430381160695
"F",1578,663,915,0,47,489,4,"1",0.999430268629375,0.91547160385335
"F",2415,1232,1183,1,43,918,4,"0",0.000784616696588918,0.144741968866957
"F",2655,1089,1566,0,37,797,8,"1",0.999430268629375,0.909197946108302
"F",1813,853,960,1,47,544,4,"0",0.000784616696588918,0.134035167517472
"F",2364,1159,1205,0,20,827,8,"1",0.999430268629375,0.907900744626294
"M",1834,936,898,0,34,679,8,"1",0.999430268629375,0.905995993815234
"F",1997,839,1158,1,42,639,4,"0",0.000784616696588918,0.13549075329096
"F",2624,1129,1495,1,40,787,8,"0",0.000784616696588918,0.122216065999934
"F",1945,876,1069,1,36,797,4,"0",0.000784616696588918,0.136906992255828
"F",1759,722,1037,1,40,704,4,"0",0.000784616696588918,0.133819154297665
"F",1534,675,859,1,53,629,4,"0",0.000784616696588918,0.132488238834238
"F",2649,1087,1562,0,31,954,8,"1",0.999430268629375,0.910084839703006
"F",2411,965,1446,0,37,940,8,"1",0.999430268629375,0.908690877961414
"F",2706,1326,1380,1,63,1001,8,"0",0.000784616696588918,0.128353677974899
"F",1545,727,818,1,52,572,8,"0",0.000784616696588918,0.112872452237621
"F",2365,946,1419,0,53,922,4,"1",0.999430268629375,0.923053007376401
"F",2372,1115,1257,1,46,973,4,"0",0.000784616696588918,0.144294565498674
"F",2828,1414,1414,1,34,962,4,"0",0.000784616696588918,0.148484313702218
"M",1960,922,1038,0,42,588,4,"1",0.999430268629375,0.920375625949142
"F",2737,1260,1477,0,33,1040,8,"1",0.999430268629375,0.912288985091679
"M",1712,856,856,1,58,702,4,"0",0.000784616696588918,0.138905027884242
"F",1776,729,1047,1,55,586,4,"0",0.000784616696588918,0.133835872822132
"M",1732,797,935,1,35,641,8,"0",0.000784616696588918,0.115975016075374
"F",1913,804,1109,0,40,593,4,"1",0.999430268629375,0.917812233682001
"F",2785,1282,1503,1,44,891,4,"0",0.000784616696588918,0.146938414938634
"F",2697,1187,1510,1,62,809,4,"0",0.000784616696588918,0.146092716337277
"F",2519,1260,1259,0,42,882,4,"1",0.999430268629375,0.924449546962432
"F",2274,1024,1250,0,52,932,4,"1",0.999430268629375,0.923239294708769
"F",2853,1398,1455,0,31,1170,4,"1",0.999430268629375,0.927572720609038
"F",1516,622,894,1,45,470,4,"0",0.000784616696588918,0.129518305158182
"F",1662,732,930,1,41,632,8,"0",0.000784616696588918,0.113229846024306
"F",2747,1127,1620,1,40,1044,4,"0",0.000784616696588918,0.146726749452302
"M",1688,709,979,0,42,675,4,"1",0.999430268629375,0.918909013877598
"F",2534,989,1545,0,30,811,4,"1",0.999430268629375,0.921886387955785
"F",1958,882,1076,1,33,705,4,"0",0.000784616696588918,0.135721574677105
"F",2778,1223,1555,0,53,861,4,"1",0.999430268629375,0.925393165459524
"F",1690,829,861,0,52,642,4,"1",0.999430268629375,0.918241701564753
"F",1878,752,1126,1,50,676,4,"0",0.000784616696588918,0.135170589981609
"F",1928,830,1098,0,20,752,4,"1",0.999430268629375,0.918140637135683
"F",1999,900,1099,1,38,680,4,"0",0.000784616696588918,0.136213199481916
"F",1916,748,1168,0,23,747,4,"1",0.999430268629375,0.917733050627046
"F",1990,816,1174,0,32,796,4,"1",0.999430268629375,0.919198293606774
"F",1529,689,840,1,35,535,4,"0",0.000784616696588918,0.130114023131817
"F",2469,1260,1209,0,44,765,4,"1",0.999430268629375,0.923594718774282
"F",2710,1084,1626,0,26,867,4,"1",0.999430268629375,0.923148836698744
"F",1971,828,1143,1,38,808,4,"0",0.000784616696588918,0.136878613681971
"F",2203,926,1277,0,27,881,4,"1",0.999430268629375,0.920857931216452
"M",2897,1159,1738,1,34,927,4,"0",0.000784616696588918,0.148675368264106
"M",2847,1225,1622,1,28,968,4,"0",0.000784616696588918,0.149051075649401
"F",2020,788,1232,0,57,808,4,"1",0.999430268629375,0.92049571904008
"F",2080,895,1185,0,33,770,4,"1",0.999430268629375,0.919805993212302
"F",1747,699,1048,0,54,646,4,"1",0.999430268629375,0.917781308685848
"F",2092,1046,1046,0,44,669,4,"1",0.999430268629375,0.920557488763431
"F",1559,764,795,0,41,639,4,"1",0.999430268629375,0.916832825158987
"M",2590,1166,1424,0,60,881,4,"1",0.999430268629375,0.926531680269359
"F",2870,1148,1722,0,40,1148,4,"1",0.999430268629375,0.926558671179593
"M",1701,868,833,0,25,578,4,"1",0.999430268629375,0.918298800038593
"F",2285,1143,1142,0,25,800,4,"1",0.999430268629375,0.921680504048055
"F",1967,866,1101,0,33,590,4,"1",0.999430268629375,0.917965597003637
"F",2084,959,1125,1,32,854,4,"0",0.000784616696588918,0.138718643793035
"F",1831,751,1080,0,23,677,4,"1",0.999430268629375,0.916959369307937
"M",2219,999,1220,1,20,777,4,"0",0.000784616696588918,0.140547902543531
"F",1890,775,1115,0,71,699,4,"1",0.999430268629375,0.919948071749384
"M",2153,948,1205,0,47,689,4,"1",0.999430268629375,0.922086044571252
"M",2577,1134,1443,1,34,1031,4,"0",0.000784616696588918,0.148005045133239
"F",1608,660,948,0,24,547,4,"1",0.999430268629375,0.914750840542787
"F",2821,1185,1636,1,36,1072,4,"0",0.000784616696588918,0.147691181261094
"F",1668,651,1017,0,42,617,4,"1",0.999430268629375,0.916388338251665
"F",2669,1148,1521,0,41,1014,4,"1",0.999430268629375,0.925123074179187
"M",1569,691,878,0,49,502,4,"1",0.999430268629375,0.917517978171898
"F",2978,1430,1548,0,36,1013,4,"1",0.999430268629375,0.927297844487637
"F",2917,1255,1662,0,34,904,4,"1",0.999430268629375,0.925352303225296
"F",2589,1010,1579,1,43,958,4,"0",0.000784616696588918,0.143959395548445
"F",2486,1069,1417,1,37,746,4,"0",0.000784616696588918,0.140954439963948
"F",2831,1218,1613,0,41,1161,4,"1",0.999430268629375,0.926957133998976
"F",1795,754,1041,0,56,700,4,"1",0.999430268629375,0.918761668004957
"M",1781,873,908,1,60,695,4,"0",0.000784616696588918,0.139499921986323
"F",2760,1215,1545,0,37,1021,4,"1",0.999430268629375,0.925610462952684
"F",2502,1026,1476,1,57,1026,4,"0",0.000784616696588918,0.14569137890149
"F",2670,1229,1441,0,37,828,4,"1",0.999430268629375,0.924110392812771
"F",2750,1348,1402,0,36,1073,4,"1",0.999430268629375,0.92660386536101
"F",2133,1046,1087,0,18,875,4,"1",0.999430268629375,0.920837114559627
"F",2352,941,1411,1,53,870,4,"0",0.000784616696588918,0.141860117171849
"M",2894,1216,1678,0,26,1042,4,"1",0.999430268629375,0.927137101952782
"F",2178,1002,1176,0,65,828,4,"1",0.999430268629375,0.922745770571875
"F",1634,768,866,0,20,670,4,"1",0.999430268629375,0.916214825936666
"M",1742,854,888,0,41,645,4,"1",0.999430268629375,0.919661430065921
"F",2824,1412,1412,0,65,1101,4,"1",0.999430268629375,0.928690701429352
"F",2136,983,1153,1,29,769,4,"0",0.000784616696588918,0.137966420349331
"F",2342,1078,1264,1,41,773,4,"0",0.000784616696588918,0.140961576625221
"M",1546,743,803,0,42,541,4,"1",0.999430268629375,0.917677092956595
"M",2424,994,1430,0,38,776,4,"1",0.999430268629375,0.923323311357699
"F",2136,834,1302,0,62,641,4,"1",0.999430268629375,0.920177985856711
"M",2777,1139,1638,0,34,1027,4,"1",0.999430268629375,0.926666175382556
"F",2292,1101,1191,0,23,894,4,"1",0.999430268629375,0.922024860296771
"M",2688,1344,1344,0,49,1102,4,"1",0.999430268629375,0.928696278548719
"M",1725,880,845,0,35,690,4,"1",0.999430268629375,0.919778031819062
"F",2516,1233,1283,0,22,881,4,"1",0.999430268629375,0.923305655665557
"F",1748,805,943,0,41,559,4,"1",0.999430268629375,0.917091295576957
"F",2354,1013,1341,1,44,847,8,"0",0.000784616696588918,0.120941276820393
"F",1934,832,1102,0,34,677,4,"1",0.999430268629375,0.918350745297774
"F",2636,1318,1318,1,41,844,8,"0",0.000784616696588918,0.124570137283041
"F",2233,1117,1116,0,40,849,4,"1",0.999430268629375,0.922468541753555
"F",2457,1204,1253,0,67,885,4,"1",0.999430268629375,0.925187504547383
"F",2239,1030,1209,1,43,784,4,"0",0.000784616696588918,0.140274542246178
"F",2164,1082,1082,1,40,671,8,"0",0.000784616696588918,0.118562904010883
"F",2781,1224,1557,0,48,918,8,"1",0.999430268629375,0.912087436683816
"F",2568,1259,1309,0,77,950,4,"1",0.999430268629375,0.926720501399246
"M",2999,1320,1679,1,35,1200,8,"0",0.000784616696588918,0.132223441776921
"F",2615,1203,1412,0,52,941,4,"1",0.999430268629375,0.925301458764801
"M",2842,1137,1705,0,46,1052,4,"1",0.999430268629375,0.927569806136615
"M",1590,764,826,0,38,636,4,"1",0.999430268629375,0.918432655516499
"M",2167,867,1300,0,32,867,8,"1",0.999430268629375,0.908154079430182
"F",2938,1293,1645,0,26,1175,4,"1",0.999430268629375,0.927052318688299
"M",2548,1173,1375,0,57,1045,4,"1",0.999430268629375,0.927395189996919
"M",2851,1169,1682,1,33,855,8,"0",0.000784616696588918,0.126217232698312
"M",2077,1018,1059,0,48,727,8,"1",0.999430268629375,0.908618697198398
"F",2096,1007,1089,1,25,713,8,"0",0.000784616696588918,0.116990999824765
"F",2766,1218,1548,0,38,1023,8,"1",0.999430268629375,0.912265423590497
"F",1815,817,998,0,35,599,8,"1",0.999430268629375,0.902567825146276
"M",2493,1023,1470,0,32,972,8,"1",0.999430268629375,0.911145991040521
"F",2305,1015,1290,0,58,945,8,"1",0.999430268629375,0.909892954600066
